page,verses,endpoint_issues,missing_regions,start_major_issues,blank_tail_rects
441,15,0,0,0,1
442,13,0,0,0,2
443,14,0,0,0,1
444,16,0,0,0,3
445,13,0,0,0,4
446,24,0,0,0,4
447,27,0,0,0,5
448,25,0,0,0,5
449,26,0,0,0,5
450,24,0,0,0,3
451,27,1,0,1,5
452,29,0,0,0,8
453,16,0,0,0,2
454,10,3,0,2,0
455,16,0,0,0,3
456,19,0,0,0,4
457,22,0,0,0,1
458,10,0,0,1,2
459,5,0,0,0,2
460,11,0,0,0,3
461,10,0,0,0,2
462,9,0,0,0,3
463,7,0,0,0,0
464,9,0,0,0,1
465,11,0,0,0,2
466,7,0,0,0,4
467,8,0,0,1,0
468,9,0,0,0,0
469,9,0,0,0,0
470,8,0,0,0,2
471,7,0,0,0,0
472,9,0,0,0,2
473,9,0,0,0,2
474,8,0,0,0,2
475,11,0,0,0,1
476,8,0,0,0,1
477,11,0,0,0,1
478,9,0,0,0,2
479,9,0,0,0,4
480,9,1,0,0,0
481,8,0,0,0,1
482,8,0,0,0,1
483,10,0,0,0,1
484,5,0,0,0,0
485,7,0,0,0,3
486,9,0,0,0,2
487,13,0,0,0,1
488,7,0,0,0,0
489,12,0,0,1,2
490,12,0,0,0,0
491,11,0,0,0,3
492,14,0,0,0,0
493,13,0,0,0,1
494,13,0,0,0,3
495,16,0,0,0,2
496,18,0,0,0,4
497,21,0,0,0,3
498,20,0,0,0,3
499,13,0,0,0,1
500,9,0,0,0,3
501,10,0,0,0,1
502,10,0,0,1,3
503,9,0,0,0,1
504,6,0,0,0,0
505,8,0,0,0,1
506,7,0,0,0,3
507,11,0,0,0,4
508,8,0,0,0,0
509,10,0,0,0,2
510,9,0,0,0,0
511,9,0,0,0,1
512,6,0,0,0,0
513,8,0,0,0,0
514,5,0,0,0,2
515,5,0,0,1,0
516,7,0,0,0,3
517,7,0,0,0,1
518,15,0,0,0,3
519,20,0,0,0,3
520,16,0,0,1,2
521,24,0,0,0,6
522,21,0,0,0,2
523,23,0,0,1,2
524,17,1,0,1,3
525,18,0,0,0,3
526,26,0,0,0,2
527,18,0,0,0,5
528,24,1,0,1,5
529,21,0,0,0,5
530,22,0,0,0,2
531,24,2,0,3,6
532,23,23,1,23,0
533,28,28,0,28,0
534,25,25,2,25,0
535,34,0,0,0,2
536,26,0,0,0,2
537,23,0,0,1,3
538,8,0,0,0,2
539,7,0,0,0,0
540,6,0,0,0,1
541,5,0,0,0,0
542,6,0,0,1,0
543,5,0,0,0,0
544,10,0,0,0,0
545,4,0,0,1,0
546,6,0,0,0,1
547,7,0,0,0,1
548,8,0,0,0,2
549,5,0,0,1,1
550,6,0,0,0,2
551,7,0,0,1,3
552,9,0,0,0,2
553,8,0,0,1,1
554,7,0,0,1,2
555,7,0,0,0,3
556,9,0,0,1,1
557,9,0,0,0,1
558,5,0,0,1,2
559,7,0,0,0,0
560,7,0,0,1,0
561,5,0,0,0,2
562,12,0,0,0,3
563,14,0,0,0,3
564,20,1,0,2,4
565,26,26,1,26,0
566,18,0,0,1,2
567,27,1,0,1,2
568,27,27,1,27,0
569,30,2,0,2,3
570,14,14,1,14,0
571,18,0,0,0,3
572,13,0,0,1,1
573,15,0,0,0,1
574,19,0,0,0,4
575,19,1,0,2,2
576,29,29,1,29,0
577,28,0,0,1,2
578,26,0,0,1,2
579,20,1,0,1,2
580,25,0,0,1,4
581,31,0,0,0,4
582,30,0,0,0,3
583,26,1,0,2,4
584,30,30,1,30,0
585,40,0,0,0,4
586,31,31,2,31,0
587,23,0,0,1,2
588,29,29,2,29,0
589,27,27,0,27,0
590,23,23,0,23,0
591,27,0,0,1,6
592,31,31,5,31,0
593,26,26,0,26,0
594,26,26,0,26,0
595,26,26,1,26,0
596,25,25,3,25,0
597,26,26,1,26,0
598,17,17,1,17,0
599,16,15,0,16,0
600,25,25,2,25,0
601,17,0,0,2,3
602,14,0,0,2,3
603,14,0,0,2,4
604,15,0,0,2,3
